sort2,sort1,species,replicate,tag_ID,site,age,date,year,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
2423,,BOLE,113,BOLE_113,Waratah2011,1.3,18-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
423,,BOLE,113,BOLE_113,Waratah2011,1.3,31-May-13,2013,2,1,2,alive,,316.3,593.4,,1.48,,,1.48,316.3,593.4,909.7,,"called BOLE_113A during censuses and on map; no map for ""BOLE_113"" censused"
2424,3537,BOLE,114,BOLE_114,Waratah2011,1.3,9-Aug-12,2012,1,0,1,alive,use,,,,1.12,1.08,1.06,1.09,,,,105,
424,1537,BOLE,114,BOLE_114,Waratah2011,1.3,4-Jun-13,2013,1,0,1,alive,use,342.9,186.1,,3.07,2.83,3.06,2.99,867.1,1223.8,2090.9,390,note on sheet indicates this might be 113B
2425,3535,BOLE,114,BOLE_114,Waratah2011,1.3,9-Aug-12,2012,2,1,2,alive,,,,,,,,,,,,,
425,1535,BOLE,114,BOLE_114,Waratah2011,1.3,4-Jun-13,2013,2,1,2,alive,,462.7,883.7,,1.95,,,1.95,524.2,1037.7,1561.9,,note on sheet indicates this might be 113B
2426,3140,BOLE,114,BOLE_114,Waratah2011,1.3,9-Aug-12,2012,3,2,3,alive,,,,,,,,,,,,,
426,1140,BOLE,114,BOLE_114,Waratah2011,1.3,4-Jun-13,2013,3,2,3,alive,,61.5,154,,0.89,,,0.89,61.5,154,215.5,,note on sheet indicates this might be 113B
2410,3492,BOLE,115,BOLE_115,Waratah2011,1.3,9-Aug-12,2012,1,0,1,alive,use,,,,1.48,1.32,1.36,1.39,,,,130,
410,1492,BOLE,115,BOLE_115,Waratah2011,1.3,4-Jun-13,2013,1,0,1,alive,use,357.8,354.9,,2.73,2.58,2.51,2.61,694.7,1615.2,2309.9,305,
2411,3493,BOLE,115,BOLE_115,Waratah2011,1.3,9-Aug-12,2012,2,1,2,alive,,,,,,,,,,,,,
411,1493,BOLE,115,BOLE_115,Waratah2011,1.3,4-Jun-13,2013,2,1,2,alive,,304.3,1151.9,,1.9,,,1.9,336.9,1260.3,1597.2,,
2412,3494,BOLE,115,BOLE_115,Waratah2011,1.3,9-Aug-12,2012,3,2,3,alive,,,,,,,,,,,,,
412,1494,BOLE,115,BOLE_115,Waratah2011,1.3,4-Jun-13,2013,3,2,3,alive,,32.6,108.4,,0.98,,,0.98,32.6,108.4,141,,
2413,,BOLE,116,BOLE_116,Waratah2011,1.3,30-Aug-12,2012,1,0,1,alive,use,,,,1.51,,,1.51,,,,230,
413,,BOLE,116,BOLE_116,Waratah2011,1.3,13-Jun-13,2013,1,0,1,alive,use,674.9,259,,2.93,3.02,2.88,2.94,1074.6,983.3,2057.9,550,
2414,,BOLE,116,BOLE_116,Waratah2011,1.3,30-Aug-12,2012,2,1,2,alive,,,,,0.4,,,0.4,,,,,
414,,BOLE,116,BOLE_116,Waratah2011,1.3,13-Jun-13,2013,2,1,2,alive,,351.5,623.4,,1.47,,,1.47,399.7,724.3,1124,,
2415,,BOLE,116,BOLE_116,Waratah2011,1.3,30-Aug-12,2012,3,2,3,alive,,,,,,,,,,,,,
415,,BOLE,116,BOLE_116,Waratah2011,1.3,13-Jun-13,2013,3,2,3,alive,,48.2,100.9,,0.78,,,0.78,48.2,100.9,149.1,,
2416,3545,BOLE,117,BOLE_117,Waratah2011,1.3,2-Nov-12,2012,1,0,1,alive,use,,,,2.61,2.59,2.61,2.6,,,,302,
416,1545,BOLE,117,BOLE_117,Waratah2011,1.3,4-Jun-13,2013,1,0,1,alive,use,2209.1,1235.6,,4.58,4.79,4.55,4.64,5248.6,5035.2,10283.8,682,
