tag_ID,diameter_start,length_start,diameter_end,new_length,segment,leaves_start_length,leaves_start_count,leaves_finish_length,leaves_end_count,leaves_new,leaves_new_count,new&shed,
PILI_152,,,,,,,,,,,,,
PILI_153,,,,,,,,,,,,,
PILI_154,,,,,,,,,,,,,
PILI_155,,,,,,,,,,,,,
PILI_161,,,,,,,,,,,,,
PUTU_151,,,,,,,,,,,,,
PUTU_152,,,,,,,,,,,,,
PUTU_153,,,,,,,,,,,,,
PUTU_154,,,,,,,,,,,,,
PUTU_155,,,,,,,,,,,,,
PUTU_156,,,,,,,,,,,,,
PUTU_157,,,,,,,,,,,,,
BAER_301,,,,,,,,,,,,,
BAER_302,,,,,,,,,,,,,
BAER_303,,,,,,,,,,,,,
BAER_306,,,,,,,,,,,,,
BAER_308,,,,,,,,,,,,,
BAER_309,,,,,,,,,,,,,
BAER_311,,,,,,,,,,,,,
BAER_315,,,,,,,,,,,,,
BOLE_303,,,,,,,,,,,,,
BOLE_305,,,,,,,,,,,,,
BOLE_306,,,,,,,,,,,,,
BOLE_307,,,,,,,,,,,,,
BOLE_308,,,,,,,,,,,,,
BOLE_313,,,,,,,,,,,,,
BOLE_316,,,,,,,,,,,,,
BOLE_317,,,,,,,,,,,,,
COER_321,,,,,,,,,,,,,
COER_322,,,,,,,,,,,,,
COER_324,,,,,,,,,,,,,
COER_327,,,,,,,,,,,,,
EPMI_301,,,,,,,,,,,,,
EPMI_304,,,,,,,,,,,,,
EPMI_307,,,,,,,,,,,,,
EPMI_310,,,,,,,,,,,,,
EPMI_311,,,,,,,,,,,,,
EPMI_312,,,,,,,,,,,,,
EPMI_313,,,,,,,,,,,,,
EPMI_314,,,,,,,,,,,,,
GRBU_305,,,,,,,,,,,,,
GRBU_306,,,,,,,,,,,,,
GRBU_307,,,,,,,,,,,,,
GRBU_308,,,,,,,,,,,,,
GRBU_310,,,,,,,,,,,,,
GRBU_311,,,,,,,,,,,,,
GRBU_312,,,,,,,,,,,,,
GRBU_313,,,,,,,,,,,,,
GRSP_301,,,,,,,,,,,,,
GRSP_302,,,,,,,,,,,,,
GRSP_306,,,,,,,,,,,,,
GRSP_307,,,,,,,,,,,,,
GRSP_312,,,,,,,,,,,,,
GRSP_314,,,,,,,,,,,,,
GRSP_315,,,,,,,,,,,,,
GRSP_316,,,,,,,,,,,,,
HATE_302,,,,,,,,,,,,,
HATE_304,,,,,,,,,,,,,
HATE_306,,,,,,,,,,,,,
HATE_307,,,,,,,,,,,,,
HATE_308,,,,,,,,,,,,,
HATE_310,,,,,,,,,,,,,
HATE_311,,,,,,,,,,,,,
HATE_312,,,,,,,,,,,,,
PELA_301,,,,,,,,,,,,,
PELA_302,,,,,,,,,,,,,
PELA_303,,,,,,,,,,,,,
PELA_305,,,,,,,,,,,,,
PELA_306,,,,,,,,,,,,,
PELA_308,,,,,,,,,,,,,
PELA_321,,,,,,,,,,,,,
PELA_322,,,,,,,,,,,,,
PEPU_301,,,,,,,,,,,,,
PEPU_302,,,,,,,,,,,,,
PEPU_303,,,,,,,,,,,,,
PEPU_305,,,,,,,,,,,,,
PEPU_307,,,,,,,,,,,,,
PEPU_310,,,,,,,,,,,,,
PEPU_313,,,,,,,,,,,,,
PEPU_315,,,,,,,,,,,,,
PILI_303,,,,,,,,,,,,,
PILI_304,,,,,,,,,,,,,
PILI_305,,,,,,,,,,,,,
PILI_306,,,,,,,,,,,,,
PILI_310,,,,,,,,,,,,,
PILI_312,,,,,,,,,,,,,
PILI_313,,,,,,,,,,,,,
PILI_316,,,,,,,,,,,,,
PUTU_301,,,,,,,,,,,,,
PUTU_302,,,,,,,,,,,,,
PUTU_303,,,,,,,,,,,,,
PUTU_304,,,,,,,,,,,,,
PUTU_305,,,,,,,,,,,,,
PUTU_307,,,,,,,,,,,,,
PUTU_308,,,,,,,,,,,,,
PUTU_309,,,,,,,,,,,,,
