sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_126_shed_bark,SKIPPED,BAER,Waratah2011,2.4,BAER_154,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_127_shed_sapwood,SKIPPED,BAER,Waratah2011,2.4,BAER_154,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_128_wood_from_base,599,BAER,Waratah2011,2.4,BAER_154,wood_from_base,wood_from_base,wood_from_base,mixed,use,36,11,0.052,3.6,59,0.065,0.055,18,781,25,0.028,48,45.2,0.086
MQ_129_wood_from_middle,374.6,BAER,Waratah2011,2.4,BAER_154,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,74,5,0.079,2.5,37,0.117,0.057,59,962,32,0.045,10,44.2,0.084
MQ_130_wood_from_tip,303.3,BAER,Waratah2011,2.4,BAER_15A,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,40,13,0.1,9.3,25,0.193,0.033,10,1388,63,0.052,13,,
MQ_131_bark,194.6,BAER,Basin2005,7,BAER_00X,bark,bark,bark,live,use,243,25,0.311,12.8,27,0.162,0.141,81,1098,88,0.106,21,47.2,0.358
MQ_132_shed_bark,223.6,BAER,Basin2005,7,BAER_00X,shed_bark,shed_bark,bark,dead,use,240,17,0.594,62.6,270,0.034,0.205,41,147,35,0.074,242,52.5,0.503
MQ_133_shed_sapwood,161.2,BAER,Basin2005,7,BAER_00X,shed_sapwood,shed_sapwood,sapwood,dead,use,15,13,0.075,1.1,48,0.006,0.081,11,61,2,0.022,75,44.8,0.151
MQ_134_wood_from_base,3702.1,BAER,Basin2005,7,BAER_005,wood_from_base,wood_from_base,wood_from_base,mixed,use,60,11,0.097,1.1,28,0.05,0.109,9,1004,13,0.028,36,44.9,0.077
MQ_135_wood_from_middle,960.8,BAER,Basin2005,7,BAER_005,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,56,21,0.064,1.2,30,0.051,0.053,9,462,7,0.029,14,44.2,0.082
MQ_136_wood_from_tip,152.7,BAER,Basin2005,7,BAER_00X,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,67,17,0.328,12.5,33,0.215,0.046,21,1337,118,0.067,20,,
MQ_137_bark,230.5,BAER,Waratah2003,9,BAER_80X,bark,bark,bark,live,use,196,10,0.186,2.1,67,0.112,0.168,17,1913,42,0.124,8,46.5,0.413
MQ_138_shed_bark,199,BAER,Waratah2003,9,BAER_80X,shed_bark,shed_bark,bark,dead,use,197,21,0.203,4.5,161,0.055,0.128,14,618,13,0.123,19,49.8,0.486
